,,,,,,,,,,,,,,,,glxy_SS_IH     <> glxy_pin2,glxy_OSC       <> glxy_pin3,glxy_OUTS      <> glxy_pin4S,glxy_OUTF      <> glxy_pin4F,glxy_VCCS      <> glxy_pin5S,glxy_VCCF      <> glxy_pin5F,glxy_BOOT      <> glxy_pin6,glxy_COMP      <> glxy_pin7,glxy_FB        <> glxy_pin8,glxy_PT        <> glxy_PT,Abs comp       <> ABS_COM,Abs fb         <> ABS_FB,Ref bef zap    <> REF_BE,sim1 ... <> Simule_1,sim2 ... <> Simule_2,sim3 ... <> Simule_3,sim4 ... <> Simule_4,sim5 ... <> Simule_5,sim6 ... <> Simule_6,sim7 ... <> Simule_7,sim8 ... <> Simule_8,sim9 ... <> Simule_9,sim10 ... <> Simule_10,sim11 ... <> Simule_11,sim12 ... <> Simule_12,sim13 ... <> Simule_13,sim14 ... <> Simule_14,sim15 ... <> Simule_15,Ref best     <> REF_BEST_SIM,indice        <> REF_FLAG,Zap current   <> ZAP_REF,Ref aft zap     <> REF,Ref recovery    <> VREF_REC,Ref precision   <> VREF_TGT,Line 8/55v      <> LN_REG,Iq dut_cycle=0  <> IQ,Iq st_by 24v    <> IQ_SBY_24,Iq st_by 55v    <> IQ_SBY_55,Abs supply      <> ABS_VCC,Iq tot          <> IQ_TOT,Freq at 8v      <> FQ_1,Uvlo up th      <> UVLO_UP,Uvlo hysteresis  <> UVLO_HYS,Freq at 55v     <> FQ_2,Freq stability  <> FQ_STAB,Freq max        <> FQ_MAX,I inh low       <> I_IH_LO,Inh th up        <> INH_TH_UP,Inh th down      <> INH_TH_DOWN,Inh hyste        <> INH_HYS,Iss charge      <> SS_ICH,Iss discharge    <> SS_IDCH,Lkg Mos          <> LK_PWR,Abs out          <> OUT_MAX,Abs boot         <> ABS_BOOT,Lkg boot Mos off <> IBOOT_OFF,Lkg boot         <> LKG_BOOT,Drop of the Mos <> DROP_10V,Rds on          <> RDS_ON,Imax bef zap	 <> IMAX,Imax aft zap   <> IMAX_AFT,Imax precision   <> IMAX_TGT,Max duty cycle  <> MAX_DUT,Osc val 24v     <> OSC_VL24,Osc pk 55v       <> OSC_PK55,Osc pk 8v        <> OSC_PK8,Gain op_loop     <> EA_OLG,Svrr             <> EA_SVRR,Bias EA         <> EA_BIAS,Transcond       <> EA_TRANS,EA swing high   <> EA_SWH,EA swing low	 <> EA_SWL,Src out I       <> EA_SRC,Sink out I      <> EA_SNK
,,,,,,,,,,,,,,,,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,-0.4000000059604645,9.999999747378752e-06,2.499999993688107e-07,3.563999891281128,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.5980000495910645,3.384999990463257,17.0,1.5,3.384999990463257,0.18000000715255737,0.03500000014901161,0.007499999832361937,0.0034000000450760126,0.00018000000272877514,0.0002800000074785203,0.0003800000122282654,0.004999999888241291,107000.0,8.0,1.0,107000.0,0.05000000074505806,480000.0,-1.9999999949504854e-06,2.4000000953674316,1.7000000476837158,0.8999999761581421,-3.400000059627928e-05,1.2000000424450263e-05,1.9999999949504854e-06,0.004999999888241291,0.0012000000569969416,9.999999747378752e-05,0.0008999999845400453,0.5400000214576721,0.36000001430511475,3.309999942779541,2.884999990463257,0.4000000059604645,0.9950000047683716,0.9049999713897705,10.0,2.2799999713897705,88.0,98.0,2.9499999527615728e-06,0.005799999926239252,13.899999618530273,0.6000000238418579,-0.00021499999274965376,0.0003800000122282654
,,,,,,,,,,,,,,,,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.8999999761581421,-0.0005499999970197678,-3.999999989900971e-06,3.177999973297119,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.1579999923706055,3.3399999141693115,-1.0,0.30000001192092896,3.3399999141693115,-0.18000000715255737,-0.03500000014901161,-0.007499999832361937,0.0006000000284984708,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0.0017000000225380063,93000.0,6.800000190734863,0.0,93000.0,-0.05000000074505806,220000.0,-1.2000000424450263e-05,1.5,0.8999999761581421,0.4000000059604645,-4.600000102072954e-05,7.999999979801942e-06,-5.999999848427251e-05,-0.029999999329447746,3.9999998989515007e-05,9.999999747378752e-06,0.0,0.07500000298023224,0.05000000074505806,1.8700000047683716,2.115000009536743,-0.4000000059604645,0.9549999833106995,0.800000011920929,9.199999809265137,2.0199999809265137,52.0,62.0,1.050000037139398e-06,0.0012000000569969416,10.399999618530273,-0.05000000074505806,-0.0003800000122282654,0.00022000000171829015
,,,,,,,,,,,,,,,,v,v,v,v,v,v,v,v,v,v,a,a,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,,a,v,v,%,v,a,a,a,a,a,hz,v,,hz,%,hz,a,v,v,v,a,a,a,a,a,a,a,v,ohm,a,a,%,%,v,v,v,db,db,a,,v,v,a,a
FILE_NAM,TESTER_NAM,START_T,PGM_NAM,JOB_NAM,LOT_ID,WAFER_ID,SITE_NUM,X_COORD,Y_COORD,PART_ID,RC,HARD_BIN,SOFT_BIN,BIN_DESC,TEST_T,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1120,1130,1132,1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1170,1175,1180,1190,1195,1200,1210,1220,1230,1240,1250,1260,1270,1280,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1500,1510,1520,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650
demofile.stdf,galaxy-t,2001/06/06-09:13:45,,ab248ea05,W118892,R114792-03,0,19,-3,1,First,5,5,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,20,-3,2,First,1,1,None,0,-0.6610937714576721,-0.6501562595367432,-0.688281238079071,-0.6920312643051147,-0.5492187738418579,-0.5723437666893005,-0.6848437786102295,-0.6564062237739563,-0.6926562786102295,-0.7994531393051147,-0.0002681250043679029,-2.1200000901444582e-06,3.4140625,3.385937452316284,3.302734375,3.3302342891693115,3.440312385559082,3.525937557220459,3.4959375858306885,3.4671874046325684,3.3789844512939453,3.408437490463257,3.3558592796325684,3.3277344703674316,3.4121875762939453,3.4959375858306885,3.4071874618530273,3.4365625381469727,3.3789844512939453,8.0,0.8208125233650208,3.3796093463897705,-0.034453123807907104,0.00583612360060215,0.002962500089779496,0.003123125061392784,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.0031539062038064003,95606.1015625,7.25,0.0,99215.296875,0.0363774336874485,426409.84375,-6.543593826791039e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.144999911659397e-05,1.0156250027648639e-05,-2.796875014610123e-05,-0.018425000831484795,0.0001179687533294782,4.812499901163392e-05,0.0006274218903854489,0.23179687559604645,0.15453125536441803,2.390000104904175,2.390000104904175,-0.04399999976158142,0.9820592999458313,0.8600000143051147,9.529999732971191,2.130000114440918,58.920833587646484,82.65415954589844,2.174531346099684e-06,0.0021621622145175934,11.135937690734863,0.12184374779462814,-0.000233914062846452,0.00029980469844304025
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,21,-3,3,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,22,-3,4,First,1,1,None,0,-0.6604687571525574,-0.6495312452316284,-0.6876562237739563,-0.6920312643051147,-0.5517187714576721,-0.57421875,-0.6854687333106995,-0.6564062237739563,-0.6920312643051147,-0.7969531416893005,-0.00027187500381842256,-2.098749973811209e-06,3.400937557220459,3.373359441757202,3.290234327316284,3.317734479904175,3.427187442779541,3.5115625858306885,3.482187509536743,3.453437566757202,3.3664844036102295,3.395312547683716,3.3433594703674316,3.315234422683716,3.399062395095825,3.4765625,3.3940625190734863,3.4234375953674316,3.373359441757202,1.0,0.8117499947547913,3.373359441757202,-0.027578124776482582,0.003976004663854837,0.0031624999828636646,0.0031531250569969416,0.0001203124993480742,0.00014531250053551048,0.00016406249778810889,0.003191406140103936,96251.6796875,,,99478.5,0.03243732824921608,428072.71875,-6.762187695130706e-06,2.0999999046325684,1.399999976158142,0.699999988079071,-4.0099999750964344e-05,9.831250281422399e-06,-2.8750000637955964e-05,-0.0192265622317791,0.0001179687533294782,4.6875000407453626e-05,0.0006149218534119427,0.23304687440395355,0.15536458790302277,2.4100000858306885,2.4100000858306885,-0.035999998450279236,0.9819607734680176,0.8600000143051147,9.529999732971191,2.130000114440918,58.95285415649414,82.71710205078125,2.1682812985091005e-06,0.0021621622145175934,11.105937957763672,0.12034375220537186,-0.00023947656154632568,0.0003062421747017652
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,23,-3,5,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,24,-3,6,First,1,1,None,0,-0.6610937714576721,-0.6495312452316284,-0.6876562237739563,-0.6926562786102295,-0.5535937547683716,-0.5760937333106995,-0.6860937476158142,-0.6564062237739563,-0.6926562786102295,-0.7938281297683716,-0.00027312501333653927,-2.069999936793465e-06,3.3940625190734863,3.3664844036102295,3.284609317779541,3.3114843368530273,3.4209375381469727,3.5040624141693115,3.4753124713897705,3.4465625286102295,3.359609365463257,3.3890624046325684,3.337109327316284,3.3089842796325684,3.392812490463257,3.4753124713897705,3.3871874809265137,3.4046874046325684,3.3664844036102295,1.0,0.8100000023841858,3.3671092987060547,-0.02695312537252903,0.0021158854942768812,0.0034000000450760126,0.003143124980852008,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.003178906161338091,96228.0234375,,,99434.859375,0.03225066885352135,427663.78125,-6.6210936893185135e-06,2.059999942779541,1.3600000143051147,0.699999988079071,-3.9200000173877925e-05,9.756249710335396e-06,-2.8281250706641003e-05,-0.019551562145352364,0.0001179687533294782,4.6875000407453626e-05,0.0006099218735471368,0.2336718738079071,0.15578125417232513,2.4100000858306885,2.4100000858306885,-0.035999998450279236,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.804420471191406,82.78050231933594,2.1712498892156873e-06,0.002222222276031971,11.0884370803833,0.12209375202655792,-0.000240789056988433,0.0003014921967405826
