BU,MPN,DEVICE,MPC,PSI_MASK,PRODUCT_FAMILY,PKG_CODE,LEAD_COUNT,CONFIGURATION,BB_REPOSITORY_NAME,PACKAGE,TEST_LOCATION,ATE,TSO_MAIN_SOURCE,TSO_EXECUTABLE,TSO_TEST_DEVICE,STDF_TP_NAME,TP_REV,RELEASE_DATE,HANDLER,INCOMING_MEDIA,TRANSFER_REQUIRED,SUBCON_PROCESS_STEP,OPERATION,TEMP,INSERTION,FLOW_ID,FLOW_TYPE,TEST_FLOW_GROUP,PROCESS_PLAN,STEP_NAME,BIN_GROUP,ACCEPT_BIN1_ONLY,SITES,INDEX_SECONDS,TEST_SECONDS,DAILY_CAP,TEST_YIELD,SUBCON_UTILIZATION,DAILY_TEST_IN,DAILY_TEST_OUT,REMARKS,DIE_ITEM,PRODUCT,TARGET_YIELD,HOLD_YIELD_LIMIT,UPPER_YIELD_LIMIT,OS_YIELD_LIMIT,SCRAP_YIELD_LIMIT,CDCA_DISPOSITION_INSTRUCTION,PRODUCT_CONTROL,TPE,TSE,BU_PE,BU_TE,MSCC_TECHNOLOGIST,FAB_LOCATION,ASSY_LOCATION,LB_14A,LB_SUPPLIER,LB_SUPPLIER_PARTNUMBER,SOCKET_14A,SOCKET_SUPPLIER,SOCKET_SUPPLIER_PARTNUMBER,CABLE_14A,CABLE_SUPPLIER,CABLE_SUPPLIER_PARTNUMBER,DUTBOARD_14A,DUTBOARD_SUPPLIER,DUTBOARD_SUPPLIER_PARTNUMBER,MAPBOARD_14A,MAPBOARD_SUPPLIER,MAPBOARD_SUPPLIER_PARTNUMBER,IND,PGM_KEY,INDEX,TEST_PROG_DIRECTORY_NAME,TEST_PROGRAM_DIRECTORY,SKIP_LOT_QA_1:10,QA_TEST_PROGRAM_NAME,STDF_DEVICE,SETUP_KEY,PSI_STATUS,TP_NAME,STDF_PROGRAM,MSCC_PLANNER,MSCC_PE_PRIMARY,MSCC_PE_BACKUP,MSCC_TE,LB_QTY,LB_TESTLOCATION,LB_STATUS,LB_N1,SOCKET_QTY,SUBCON_SOCKET_ID,LID_SOCKET_14A,LID_SOCKET_QTY,LID_SUBCON_SOCKET_ID,LID_SUPPLIER,LID_SUPPLIER_PARTNUMBER,ALIGNPLATE_SOCKET_14A,ALIGNPLATE_QTY,SUBCON_ALIGNPLATE_ID,ALIGNPLATE_SUPPLIER,ALIGNPLATE_SUPPLIER_PARTNUMBER,CABLE_QTY,SUBCON_CABLE_ID,DUTBOARD_QTY,DUTBOARD_SUBCON_ID,CHANGEKIT_QTY,SUBCON_CHANGEKIT_ID,CHANGEKIT_SUPPLIER,CHANGEKIT_SUPPLIER_PARTNUMBER,MAPBOARD_QTY,SUBCON_MAPBOARD_ID,
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,2000-01-01 00:00:00,text,text,text,text,text,text,0.0,text,text,text,text,text,text,text,0.0,0.1,0.1,0,text,text,0.0,0.0,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,2000-01-01 00:00:00,text,text,text,text,text,text,0.0,text,text,text,text,text,text,text,0.0,0.1,0.1,0,text,text,0.0,0.0,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,2000-01-01 00:00:00,text,text,text,text,text,text,0.0,text,text,text,text,text,text,text,0.0,0.1,0.1,0,text,text,0.0,0.0,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,2000-01-01 00:00:00,text,text,text,text,text,text,0.0,text,text,text,text,text,text,text,0.0,0.1,0.1,0,text,text,0.0,0.0,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BDW-TR,SG2524BDW,,,,,16.0,,,SOPW16,ASEM,TS88_AMS,S1524B.FT,,,S1524B.FT,10/09/12,Released,PM6K,Tube,No,T100,FT,T25,1.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.5,0.95,35265,0.9,0.65,22922.448979591838,20630.204081632655,-,1524-CD,,90,87,99,1,60,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,WELLEGION,TM810-028122121-62,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,WELLEGION,WE-553,,MCHP GG,SA1524B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BDW-TR,SG2524BDW,,,,,16.0,,,SOPW16,ASEM,TS88_AMS,T1524B.FT,,,T1524B.FT,03/30/06,Released,PM6K,Tube,No,T400,FT,T85,2.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.5,0.95,35265,0.98,0.65,22922.448979591838,22464.0,-,1524-CD,,98,95,99,1,68,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,WELLEGION,TM810-028122121-62,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,WELLEGION,WE-553,,MCHP GG,SA1524B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BDW,SG2524BDW,,,,,16.0,,,SOPW16,ASEM,TS88_AMS,S1524B.FT,,,S1524B.FT,10/09/12,Released,PM6K,Tube,No,T100,FT,T25,1.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.5,0.95,35265,0.9,0.65,22922.448979591838,20630.204081632655,-,1524-CD,,90,87,99,1,60,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,WELLEGION,TM810-028122121-62,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,WELLEGION,WE-553,,MCHP GG,SA1524B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BDW,SG2524BDW,,,,,16.0,,,SOPW16,ASEM,TS88_AMS,T1524B.FT,,,T1524B.FT,03/30/06,Released,PM6K,Tube,No,T400,FT,T85,2.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.5,0.95,35265,0.98,0.65,22922.448979591838,22464.0,-,1524-CD,,98,95,99,1,68,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,WELLEGION,TM810-028122121-62,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,WELLEGION,WE-553,,MCHP GG,SA1524B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BN,SG2524BN,,,,,16.0,,,PDIP16,ASEM,TS88_AMS,S1524B.FT,,,S1524B.FT,10/09/12,Released,MCT,Tube,No,T100,FT,T25,1.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.2,0.95,40186,0.9,0.65,26120.93023255814,23508.83720930233,-,1524-CD,,90,87,99,1,60,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,"PRECISION CONTACTS, INC",EL-020B&UC-020B,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,MCHP GG,SA1524B,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,SG2524BN,SG2524BN,,,,,16.0,,,PDIP16,ASEM,TS88_AMS,T1524B.FT,,,T1524B.FT,03/30/06,Released,MCT,Tube,No,T400,FT,T85,2.0,-,STD,,FFQQ,"FT(25C), FT(85C), QA(25C), QA(85C)",CPG_LG_SG01,Yes,1.0,1.2,0.95,40186,0.98,0.65,26120.93023255814,25598.51162790698,-,1524-CD,,98,95,99,1,68,-,Mai-Anh,Wisit A,"Pakorn P., Sun Sun",,Howard,-,FAB_1,ASEM,,MCHP GG,DP1001,,"PRECISION CONTACTS, INC",EL-020B&UC-020B,,"TSAC (Test Solution & Asset Consulting LLC)
BNC cable: MCHP GG","Cable A: 894-8818
Cable B: 894-8838
BNC cable: NA",,MCHP GG,SA1524B,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
